PersoonID	Naam	Voornamen	Tussenvoegsels	Achternaam	LP_PersoonURL	LP_PersoonArchiefURL	ArchiefURLStatusCheck-17122019		Geboortedatum	Geboorteplaats	Sterfdatum	Sterfplaats
105	B.G. Van Wijckmade	B.G.	van	Wijckmade	https://www.literatuurplein.nl/persdetail?persId=105	http://web.archive.org/web/20191203190048/https://www.literatuurplein.nl/persdetail?persId=105	200	Klik	11-08-1924	Den Haag	15-09-1990	
106	Toon Kortooms	Toon		Kortooms	https://www.literatuurplein.nl/persdetail?persId=106	http://web.archive.org/web/20191203190105/https://www.literatuurplein.nl/persdetail?persId=106	200	Klik	23-02-1916		05-02-1999	
120	Hubert Van Herreweghen	Hubert		Van Herreweghen	https://www.literatuurplein.nl/persdetail?persId=120	http://web.archive.org/web/20191203190121/https://www.literatuurplein.nl/persdetail?persId=120	200	Klik	16-02-1920	Pamel	04-11-2016	Dilbeek
121	Willy Spillebeen	Willy		Spillebeen	https://www.literatuurplein.nl/persdetail?persId=121	http://web.archive.org/web/20191203190137/https://www.literatuurplein.nl/persdetail?persId=121	200	Klik	30-12-1932	Westrozebeke		
124	Peter Van Straaten	Peter	van	Straaten	https://www.literatuurplein.nl/persdetail?persId=124	http://web.archive.org/web/20191203190153/https://www.literatuurplein.nl/persdetail?persId=124	200	Klik	25-03-1935	Arnhem	08-12-2016	Amsterdam
127	Fiep Westendorp	Fiep		Westendorp	https://www.literatuurplein.nl/persdetail?persId=127	http://web.archive.org/web/20191203190210/https://www.literatuurplein.nl/persdetail?persId=127	200	Klik	17-12-1916	Zaltbommel	03-02-2004	Amsterdam
132	B.A. Van Wijckmade	B.A.	van	Wijckmade	https://www.literatuurplein.nl/persdetail?persId=132	http://web.archive.org/web/20191203190227/https://www.literatuurplein.nl/persdetail?persId=132	200	Klik	14-06-1937			
133	Jan Kruis	Jan		Kruis	https://www.literatuurplein.nl/persdetail?persId=133	http://web.archive.org/web/20191203190243/https://www.literatuurplein.nl/persdetail?persId=133	200	Klik	08-06-1933	Rotterdam	19-01-2017	Mantinge
134	Anne De Vries (1904-1964)	Anne	de	Vries (1904-1964)	https://www.literatuurplein.nl/persdetail?persId=134	http://web.archive.org/web/20191203190300/https://www.literatuurplein.nl/persdetail?persId=134	200	Klik	22-05-1904	Assen	29-11-1964	
135	Evert Hartman	Evert		Hartman	https://www.literatuurplein.nl/persdetail?persId=135	http://web.archive.org/web/20191203190316/https://www.literatuurplein.nl/persdetail?persId=135	200	Klik	12-07-1937	Dedemsvaart	07-04-1994	Hoogeveen
143	Jenny Dalenoord	Jenny		Dalenoord	https://www.literatuurplein.nl/persdetail?persId=143	http://web.archive.org/web/20191203190332/https://www.literatuurplein.nl/persdetail?persId=143	200	Klik	17-06-1918	Cheribon	25-10-2013	Soest
151	Billy Graham	Billy		Graham	https://www.literatuurplein.nl/persdetail?persId=151	http://web.archive.org/web/20191203190349/https://www.literatuurplein.nl/persdetail?persId=151	200	Klik	07-11-1918	Charlotte	21-02-2018	
