BoekID	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
3634	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3634	http://web.archive.org/web/20191127032356/https://www.literatuurplein.nl/boekdetail?boekId=3634	200	Klik
3653	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3653	http://web.archive.org/web/20191127032457/https://www.literatuurplein.nl/boekdetail?boekId=3653	200	Klik
3755	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3755	http://web.archive.org/web/20191127033111/https://www.literatuurplein.nl/boekdetail?boekId=3755	200	Klik
3865	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3865	http://web.archive.org/web/20191127033730/https://www.literatuurplein.nl/boekdetail?boekId=3865	200	Klik
3919	https://www.literatuurplein.nl/boekdetail.jsp?boekId=3919	http://web.archive.org/web/20191127034110/https://www.literatuurplein.nl/boekdetail?boekId=3919	200	Klik
4369	https://www.literatuurplein.nl/boekdetail.jsp?boekId=4369	http://web.archive.org/web/20191127042043/https://www.literatuurplein.nl/boekdetail?boekId=4369	200	Klik
4384	http://www.literatuurplein.nl/boekdetail.jsp?boekId=4384	http://web.archive.org/web/20191127133958/https://literatuurplein.nl/boekdetail?boekId=4384	200	Klik
4552	http://www.literatuurplein.nl/boekdetail.jsp?boekId=4552	http://web.archive.org/web/20191127134116/https://literatuurplein.nl/boekdetail?boekId=4552	200	Klik
4573	https://www.literatuurplein.nl/boekdetail.jsp?boekId=4573	http://web.archive.org/web/20191127043023/https://www.literatuurplein.nl/boekdetail?boekId=4573	200	Klik
4657	https://www.literatuurplein.nl/detail/boek/geen-tijd-te-verliezen/4657	http://web.archive.org/web/20191128132115/https://www.literatuurplein.nl/detail/boek/geen-tijd-te-verliezen/4657	200	Klik
4704	https://www.literatuurplein.nl/detail/boek/mijn-leven-met-mercury/4704	http://web.archive.org/web/20191128171958/https://www.literatuurplein.nl/detail/boek/mijn-leven-met-mercury/4704	200	Klik
4720	https://www.literatuurplein.nl/boekdetail.jsp?boekId=4720	http://web.archive.org/web/20191127192605/https://www.literatuurplein.nl/boekdetail?boekId=4720	200	Klik
4762	https://www.literatuurplein.nl/boekdetail.jsp?boekId=4762	http://web.archive.org/web/20191127193137/https://www.literatuurplein.nl/boekdetail?boekId=4762	200	Klik
4830	https://www.literatuurplein.nl/detail/boek/lammetje-waar-ben-je-/4830	http://web.archive.org/web/20191128141753/https://www.literatuurplein.nl/detail/boek/lammetje-waar-ben-je-/4830	200	Klik
4870	https://www.literatuurplein.nl/boekdetail.jsp?boekId=4870	http://web.archive.org/web/20191127194453/https://www.literatuurplein.nl/boekdetail?boekId=4870	200	Klik
5042	https://www.literatuurplein.nl/boekdetail.jsp?boekId=5042	http://web.archive.org/web/20191127201309/https://www.literatuurplein.nl/boekdetail?boekId=5042	200	Klik
5207	https://www.literatuurplein.nl/boekdetail.jsp?boekId=5207	http://web.archive.org/web/20191127203803/https://www.literatuurplein.nl/boekdetail?boekId=5207	200	Klik
5273	http://www.literatuurplein.nl/boekdetail.jsp?boekId=5273	http://web.archive.org/web/20191127141424/https://literatuurplein.nl/boekdetail?boekId=5273	200	Klik
5499	https://www.literatuurplein.nl/boekdetail.jsp?boekId=5499	http://web.archive.org/web/20191127210323/https://www.literatuurplein.nl/boekdetail?boekId=5499	200	Klik
5619	https://www.literatuurplein.nl/boekdetail.jsp?boekId=5619	http://web.archive.org/web/20191127211847/https://www.literatuurplein.nl/boekdetail?boekId=5619	200	Klik
5996	https://www.literatuurplein.nl/boekdetail.jsp?boekId=5996	http://web.archive.org/web/20191127221527/https://www.literatuurplein.nl/boekdetail?boekId=5996	200	Klik
6030	http://www.literatuurplein.nl/boekdetail.jsp?boekId=6030	http://web.archive.org/web/20191203181953/https://literatuurplein.nl/boekdetail?boekId=6030	200	Klik
6164	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6164	http://web.archive.org/web/20191127224403/https://www.literatuurplein.nl/boekdetail?boekId=6164	200	Klik
6235	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6235	http://web.archive.org/web/20191127225506/https://www.literatuurplein.nl/boekdetail?boekId=6235	200	Klik
6235	https://www.literatuurplein.nl/detail/boek/de-dag-die-langer-duurde-dan-een-eeuw/6235	http://web.archive.org/web/20191128121854/https://www.literatuurplein.nl/detail/boek/de-dag-die-langer-duurde-dan-een-eeuw/6235	200	Klik
6353	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6353	http://web.archive.org/web/20191127230904/https://www.literatuurplein.nl/boekdetail?boekId=6353	200	Klik
6399	http://www.literatuurplein.nl/boekdetail.jsp?boekId=6399	http://web.archive.org/web/20191127150201/https://literatuurplein.nl/boekdetail?boekId=6399	200	Klik
6429	https://www.literatuurplein.nl/detail/boek/psycho-verkoop/6429	http://web.archive.org/web/20191128174809/https://www.literatuurplein.nl/detail/boek/psycho-verkoop/6429	200	Klik
6475	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6475	http://web.archive.org/web/20191127232546/https://www.literatuurplein.nl/boekdetail?boekId=6475	200	Klik
6565	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6565	http://web.archive.org/web/20191127233253/https://www.literatuurplein.nl/boekdetail?boekId=6565	200	Klik
6611	http://www.literatuurplein.nl/boekdetail.jsp?boekId=6611	http://web.archive.org/web/20191127151030/https://literatuurplein.nl/boekdetail?boekId=6611	200	Klik
6837	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6837	http://web.archive.org/web/20191128000803/https://www.literatuurplein.nl/boekdetail?boekId=6837	200	Klik
6837	https://www.literatuurplein.nl/detail/boek/achter-mijn-glimlach/6837	http://web.archive.org/web/20191128080859/https://www.literatuurplein.nl/detail/boek/achter-mijn-glimlach/6837	200	Klik
6860	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6860	http://web.archive.org/web/20191128000944/https://www.literatuurplein.nl/boekdetail?boekId=6860	200	Klik
6863	https://www.literatuurplein.nl/detail/boek/jagen/6863	http://web.archive.org/web/20191128140405/https://www.literatuurplein.nl/detail/boek/jagen/6863	200	Klik
6874	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6874	http://web.archive.org/web/20191128001103/https://www.literatuurplein.nl/boekdetail?boekId=6874	200	Klik
6938	https://www.literatuurplein.nl/detail/boek/dans-van-de-krijgers/6938	http://web.archive.org/web/20191128121147/https://www.literatuurplein.nl/detail/boek/dans-van-de-krijgers/6938	200	Klik
6976	https://www.literatuurplein.nl/boekdetail.jsp?boekId=6976	http://web.archive.org/web/20191128001706/https://www.literatuurplein.nl/boekdetail?boekId=6976	200	Klik
6976	https://www.literatuurplein.nl/detail/boek/oord-en-duit-uit-noord-en-zuid/6976	http://web.archive.org/web/20191128173526/https://www.literatuurplein.nl/detail/boek/oord-en-duit-uit-noord-en-zuid/6976	200	Klik
7004	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7004	http://web.archive.org/web/20191128002236/https://www.literatuurplein.nl/boekdetail?boekId=7004	200	Klik
7048	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7048	http://web.archive.org/web/20191127153112/https://literatuurplein.nl/boekdetail?boekId=7048	200	Klik
7093	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7093	http://web.archive.org/web/20191127153256/https://literatuurplein.nl/boekdetail?boekId=7093	200	Klik
7093	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7093	http://web.archive.org/web/20191128003126/https://www.literatuurplein.nl/boekdetail?boekId=7093	200	Klik
7138	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7138	http://web.archive.org/web/20191127153620/https://literatuurplein.nl/boekdetail?boekId=7138	200	Klik
7144	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7144	http://web.archive.org/web/20191127153643/https://literatuurplein.nl/boekdetail?boekId=7144	200	Klik
7175	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7175	http://web.archive.org/web/20191128004404/https://www.literatuurplein.nl/boekdetail?boekId=7175	200	Klik
7191	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7191	http://web.archive.org/web/20191127153909/https://literatuurplein.nl/boekdetail?boekId=7191	200	Klik
7191	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7191	http://web.archive.org/web/20191128004542/https://www.literatuurplein.nl/boekdetail?boekId=7191	200	Klik
7257	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7257	http://web.archive.org/web/20191128005217/https://www.literatuurplein.nl/boekdetail?boekId=7257	200	Klik
7264	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7264	http://web.archive.org/web/20191128005404/https://www.literatuurplein.nl/boekdetail?boekId=7264	200	Klik
7275	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7275	http://web.archive.org/web/20191128005656/https://www.literatuurplein.nl/boekdetail?boekId=7275	200	Klik
7402	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7402	http://web.archive.org/web/20191127154843/https://literatuurplein.nl/boekdetail?boekId=7402	200	Klik
7402	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7402	http://web.archive.org/web/20191128010629/https://www.literatuurplein.nl/boekdetail?boekId=7402	200	Klik
7422	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7422	http://web.archive.org/web/20191127154929/https://literatuurplein.nl/boekdetail?boekId=7422	200	Klik
7448	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7448	http://web.archive.org/web/20191128010959/https://www.literatuurplein.nl/boekdetail?boekId=7448	200	Klik
7463	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7463	http://web.archive.org/web/20191128011356/https://www.literatuurplein.nl/boekdetail?boekId=7463	200	Klik
7501	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7501	http://web.archive.org/web/20191128012414/https://www.literatuurplein.nl/boekdetail?boekId=7501	200	Klik
7501	https://www.literatuurplein.nl/detail/boek/onder-de-adelaar/7501	http://web.archive.org/web/20191128173300/https://www.literatuurplein.nl/detail/boek/onder-de-adelaar/7501	200	Klik
7787	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7787	http://web.archive.org/web/20191128020402/https://www.literatuurplein.nl/boekdetail?boekId=7787	200	Klik
7790	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7790	http://web.archive.org/web/20191128020416/https://www.literatuurplein.nl/boekdetail?boekId=7790	200	Klik
7807	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7807	http://web.archive.org/web/20191128020506/https://www.literatuurplein.nl/boekdetail?boekId=7807	200	Klik
7811	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7811	http://web.archive.org/web/20191128020536/https://www.literatuurplein.nl/boekdetail?boekId=7811	200	Klik
7841	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7841	http://web.archive.org/web/20191128020726/https://www.literatuurplein.nl/boekdetail?boekId=7841	200	Klik
7841	https://www.literatuurplein.nl/boekdetail?boekId=7841	http://web.archive.org/web/20191128074923/https://www.literatuurplein.nl/boekdetail?boekId=7841	200	Klik
7861	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7861	http://web.archive.org/web/20191127161821/https://literatuurplein.nl/boekdetail?boekId=7861	200	Klik
7861	https://www.literatuurplein.nl/boekdetail.jsp?boekId=7861	http://web.archive.org/web/20191128020748/https://www.literatuurplein.nl/boekdetail?boekId=7861	200	Klik
8110	https://www.literatuurplein.nl/boekdetail.jsp?boekId=8110	http://web.archive.org/web/20191128022916/https://www.literatuurplein.nl/boekdetail?boekId=8110	200	Klik
8136	https://www.literatuurplein.nl/detail/boek/liefde-tot-de-leegte/8136	http://web.archive.org/web/20191128142203/https://www.literatuurplein.nl/detail/boek/liefde-tot-de-leegte/8136	200	Klik
8239	https://www.literatuurplein.nl/boekdetail.jsp?boekId=8239	http://web.archive.org/web/20191128024621/https://www.literatuurplein.nl/boekdetail?boekId=8239	200	Klik
8239	https://www.literatuurplein.nl/detail/boek/wie-liefheeft-slaapt-niet/8239	http://web.archive.org/web/20191129100804/https://www.literatuurplein.nl/detail/boek/wie-liefheeft-slaapt-niet/8239	200	Klik
8253	http://www.literatuurplein.nl/boekdetail.jsp?boekId=8253	http://web.archive.org/web/20191127163520/https://literatuurplein.nl/boekdetail?boekId=8253	200	Klik
8255	https://www.literatuurplein.nl/detail/boek/de-weg-van-hara/8255	http://web.archive.org/web/20191128125340/https://www.literatuurplein.nl/detail/boek/de-weg-van-hara/8255	200	Klik
8339	https://www.literatuurplein.nl/boekdetail.jsp?boekId=8339	http://web.archive.org/web/20191128025655/https://www.literatuurplein.nl/boekdetail?boekId=8339	200	Klik
8339	https://www.literatuurplein.nl/detail/boek/de-geldschieter/8339	http://web.archive.org/web/20191128122307/https://www.literatuurplein.nl/detail/boek/de-geldschieter/8339	200	Klik
8428	https://www.literatuurplein.nl/boekdetail.jsp?boekId=8428	http://web.archive.org/web/20191128030714/https://www.literatuurplein.nl/boekdetail?boekId=8428	200	Klik
8428	https://www.literatuurplein.nl/boekdetail?boekId=8428	http://web.archive.org/web/20191128075213/https://www.literatuurplein.nl/boekdetail?boekId=8428	200	Klik
8428	https://www.literatuurplein.nl/detail/boek/kerst-merklappen-met-borduurpatronen/8428	http://web.archive.org/web/20191128140953/https://www.literatuurplein.nl/detail/boek/kerst-merklappen-met-borduurpatronen/8428	200	Klik
8471	https://www.literatuurplein.nl/boekdetail.jsp?boekId=8471	http://web.archive.org/web/20191128031622/https://www.literatuurplein.nl/boekdetail?boekId=8471	200	Klik
8633	https://www.literatuurplein.nl/boekdetail.jsp?boekId=8633	http://web.archive.org/web/20191128034134/https://www.literatuurplein.nl/boekdetail?boekId=8633	200	Klik
8859	https://www.literatuurplein.nl/boekdetail.jsp?boekId=8859	http://web.archive.org/web/20191128041128/https://www.literatuurplein.nl/boekdetail?boekId=8859	200	Klik
8935	https://www.literatuurplein.nl/detail/boek/knuffel/8935	http://web.archive.org/web/20191128141338/https://www.literatuurplein.nl/detail/boek/knuffel/8935	200	Klik
9111	https://www.literatuurplein.nl/detail/boek/te-groot-voor-een-noe-noe/9111	http://web.archive.org/web/20191128180434/https://www.literatuurplein.nl/detail/boek/te-groot-voor-een-noe-noe/9111	200	Klik
9128	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9128	http://web.archive.org/web/20191128044713/https://www.literatuurplein.nl/boekdetail?boekId=9128	200	Klik
9139	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9139	http://web.archive.org/web/20191128044804/https://www.literatuurplein.nl/boekdetail?boekId=9139	200	Klik
9139	https://www.literatuurplein.nl/detail/boek/-dat-rijmt-/9139	http://web.archive.org/web/20191128121213/https://www.literatuurplein.nl/detail/boek/-dat-rijmt-/9139	200	Klik
9160	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9160	http://web.archive.org/web/20191128044900/https://www.literatuurplein.nl/boekdetail?boekId=9160	200	Klik
9252	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9252	http://web.archive.org/web/20191128045622/https://www.literatuurplein.nl/boekdetail?boekId=9252	200	Klik
9272	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9272	http://web.archive.org/web/20191128050531/https://www.literatuurplein.nl/boekdetail?boekId=9272	200	Klik
9308	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9308	http://web.archive.org/web/20191128051259/https://www.literatuurplein.nl/boekdetail?boekId=9308	200	Klik
9343	http://www.literatuurplein.nl/boekdetail.jsp?boekId=9343	http://web.archive.org/web/20191127170355/https://literatuurplein.nl/boekdetail?boekId=9343	200	Klik
9416	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9416	http://web.archive.org/web/20191128052532/https://www.literatuurplein.nl/boekdetail?boekId=9416	200	Klik
