ThemaID	Thema	ThemaURL	ThemaArchiefURL	ThemaArchiefURLStatusCheck-05122019		Titel	TitelURL	TitelID	TitelArchiefURL	TitelArchiefURLStatusCheck-05122019	
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Romeins Nederland : archeologie & geschiedenis van een grensgebied.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=230891	230891	http://web.archive.org/web/20191127131246/https://literatuurplein.nl/boekdetail?boekId=230891	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Op het spoor van Romeinen en Bataven : Nederland 2000 jaar geleden.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=343127	343127	http://web.archive.org/web/20191127132209/https://literatuurplein.nl/boekdetail?boekId=343127	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Limes fietsroute : langs de noordgrens van het Romeinse R?k : deel 1 : Katwijk-Regensburg (Passau).	http://www.literatuurplein.nl/boekdetail.jsp?boekId=347899	347899	http://web.archive.org/web/20191127132438/https://literatuurplein.nl/boekdetail?boekId=347899_blank%22	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De erfenis van Asterix : het leven in de Lage Landen.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=383046	383046	http://web.archive.org/web/20191127132847/https://literatuurplein.nl/boekdetail?boekId=383046	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De Romeinse rijksgrens tussen Moezel en Noordzeekust.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=38839	38839	http://web.archive.org/web/20191127132917/https://literatuurplein.nl/boekdetail?boekId=38839	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De opstand der ‘Batavieren’.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=47217	47217	http://web.archive.org/web/20191203181825/https://literatuurplein.nl/boekdetail?boekId=47217	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De opstand van de Bataven.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=489721	489721	http://web.archive.org/web/20191127135118/https://literatuurplein.nl/boekdetail?boekId=489721	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De Bataven : verhalen van een verdwenen volk.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=490283	490283	http://web.archive.org/web/20191127135126/https://literatuurplein.nl/boekdetail?boekId=490283	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	In de marge van de beschaving : de geschiedenis van Nederland, 0-1100.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=490972	490972	http://web.archive.org/web/20191127135141/https://literatuurplein.nl/boekdetail?boekId=490972	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Romeins verkeer : weggebruik en verkeersdrukte in het Romeinse Rijk.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=515000	515000	http://web.archive.org/web/20191127140622/https://literatuurplein.nl/boekdetail?boekId=515000	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Nederland van prehistorie tot Beeldenstorm.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=517621	517621	http://web.archive.org/web/20191127140725/https://literatuurplein.nl/boekdetail?boekId=517621	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Romeinen in Valkenburg (ZH) : de opgravingsgeschiedenis en het archeologische onderzoek van Praetorium Agrippinae.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=553350	553350	http://web.archive.org/web/20191127142240/https://literatuurplein.nl/boekdetail?boekId=553350	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Forum Hadriani : van Romeinse stad tot monument.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=577826	577826	http://web.archive.org/web/20191127143342/https://literatuurplein.nl/boekdetail?boekId=577826	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De Peutinger-kaart en de Lage Landen.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=595860	595860	http://web.archive.org/web/20191127144500/https://literatuurplein.nl/boekdetail?boekId=595860	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Het Romeins marskamp bij Ermelo.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=610784	610784	http://web.archive.org/web/20191203181838/https://literatuurplein.nl/boekdetail?boekId=610784	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Monumenten van Romeins Nederland : beschermingsagenda archeologie 2008.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=628907	628907	http://web.archive.org/web/20191127145834/https://literatuurplein.nl/boekdetail?boekId=628907	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Limesweg.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=640964	640964	http://web.archive.org/web/20191127150309/https://literatuurplein.nl/boekdetail?boekId=640964	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De tijd van Romeinen en Germanen : 0-500.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=642500	642500	http://web.archive.org/web/20191127150348/https://literatuurplein.nl/boekdetail?boekId=642500	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De rand van het Rijk : de Romeinen en de Lage Landen.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=698370	698370	http://web.archive.org/web/20191127152612/https://literatuurplein.nl/boekdetail?boekId=698370	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Romeinen, Friezen en Franken in het hart van Nederland : van Traiectum tot Dorestad 50 v. C.-900 n. C.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=7093	7093	http://web.archive.org/web/20191127153256/https://literatuurplein.nl/boekdetail?boekId=7093	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Ooggetuigen van de vaderlandse geschiedenis in meer dan honderd reportages.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=748981	748981	http://web.archive.org/web/20191127155303/https://literatuurplein.nl/boekdetail?boekId=748981	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Nijmegen : legerplaats en stad in het achterland van de Romeinse limes.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=75159	75159	http://web.archive.org/web/20191127155606/https://literatuurplein.nl/boekdetail?boekId=75159	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Limes atlas.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=762955	762955	http://web.archive.org/web/20191127160200/https://literatuurplein.nl/boekdetail?boekId=762955	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De Bosatlas van de geschiedenis van Nederland	http://www.literatuurplein.nl/boekdetail.jsp?boekId=776405	776405	http://web.archive.org/web/20191127161407/https://literatuurplein.nl/boekdetail?boekId=776405	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Op zoek naar Matilo : sporen van de Romeinen in Leiden.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=794915	794915	http://web.archive.org/web/20191127162032/https://literatuurplein.nl/boekdetail?boekId=794915	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Romeinse sporen : het relaas van de Romeinen in de Benelux met 309 vindplaatsen om te bezoeken.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=928239	928239	http://web.archive.org/web/20191127170317/https://literatuurplein.nl/boekdetail?boekId=928239	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De Romeinen : langs de limes in de Lage Landen	https://literatuurplein.nl/detail/boek/de-romeinen/1072409	1072409	http://web.archive.org/web/20191127172457/https://literatuurplein.nl/detail/boek/de-romeinen/1072409	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	De Romeinse limes : de grenzen van het rijk in de Lage Landen	https://literatuurplein.nl/detail/boek/de-romeinse-limes/1425182	1425182	http://web.archive.org/web/20191127172503/https://literatuurplein.nl/detail/boek/de-romeinse-limes/1425182	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Rome aan de Noordzee : burgers en barbaren te Velsen	https://literatuurplein.nl/detail/boek/rome-aan-de-noordzee/1082872	1082872	http://web.archive.org/web/20191127180223/https://literatuurplein.nl/detail/boek/rome-aan-de-noordzee/1082872	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Romeinse veldtochten	https://literatuurplein.nl/detail/boek/romeinse-veldtochten/1106898	1106898	http://web.archive.org/web/20191127180229/https://literatuurplein.nl/detail/boek/romeinse-veldtochten/1106898	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Fietsgids Romeinse Limesroute.	https://www.literatuurplein.nl/detail/boek/fietsgids-romeinse-limesroute/1452704	1452704	http://web.archive.org/web/20191127182601/https://www.literatuurplein.nl/detail/boek/fietsgids-romeinse-limesroute/1452704	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Grens van het Romeinse Rijk : de Limes in Zuid-Holland.	https://www.literatuurplein.nl/detail/boek/grens-van-het-romeinse-rijk/1488034	1488034	http://web.archive.org/web/20191127182650/https://www.literatuurplein.nl/detail/boek/grens-van-het-romeinse-rijk/1488034	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik	Het jaar 117 : sporen van Trajanus en Hadrianus in de Lage Landen	https://www.literatuurplein.nl/detail/boek/zoekresultaat/1402676	1402676	http://web.archive.org/web/20191127183834/https://www.literatuurplein.nl/detail/boek/zoekresultaat/1402676	200	Klik
2	2. De Romeinse Limes	https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191127181646/https://literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik						
2	2. De Romeinse Limes	https://www.literatuurplein.nl/canon_detail.jsp?canonId=2	http://web.archive.org/web/20191128075821/https://www.literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik						
2	2. De Romeinse Limes	https://www.literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	http://web.archive.org/web/20191129102221/https://www.literatuurplein.nl/detail/canon/2-de-romeinse-limes/2	200	Klik						
3	3. Willibrord	https://literatuurplein.nl/detail/canon/3-willibrord/3	http://web.archive.org/web/20191127181758/https://literatuurplein.nl/detail/canon/3-willibrord/3	200	Klik	Utrechtse biografieën : levensbeschrijvingen van bekende en onbekende Utrechters : 2.	http://www.literatuurplein.nl/boekdetail.jsp?boekId=24967	24967	http://web.archive.org/web/20191127131653/https://literatuurplein.nl/boekdetail?boekId=24967	200	Klik
3	3. Willibrord	https://literatuurplein.nl/detail/canon/3-willibrord/3	http://web.archive.org/web/20191127181758/https://literatuurplein.nl/detail/canon/3-willibrord/3	200	Klik	Bedevaartenroute : op de fiets van Egmond naar Echternach	http://www.literatuurplein.nl/boekdetail.jsp?boekId=339777	339777	http://web.archive.org/web/20191127132004/https://literatuurplein.nl/boekdetail?boekId=339777	200	Klik
